"
Glossary of ESP32forth v7.0.5.4 -  up to v7.0.619",,,,"last updated
July 2022"
839,rmt_isr_register ,( fn arg allocflags handle -- err ),,RMT
840,rmt_isr_deregister ,( handle -- err ),,RMT
841,rmt_fill_tx_items ,( channel @items items# offset -- err ),,RMT
842,rmt_driver_install ,( channel rxbufsize allocflags -- err ),,RMT
843,rmt_driver_uinstall ,( channel -- err ),,RMT
844,rmt_get_channel_status ,( channel @status -- err ),,RMT
845,rmt_get_counter_clock ,( channel @clockhz -- err ),,RMT
846,rmt_write_items ,( channel @items items# wait -- err ),,RMT
847,rmt_wait_tx_done ,( channel time -- err ),,RMT
848,rmt_get_ringbuf_handle ,( channel @handle -- err ),,RMT
849,rmt_translator_init ,( channel fn -- err ),,RMT
850,rmt_translator_set_context ,( channel @context -- err ),,RMT
851,rmt_translator_get_context ,( channel @@context -- err ),,RMT
852,rmt_write_sample ,( channel src src# wait -- err ),,RMT
853,rmt_register_tx_end_callback,,NOT SUPPORTED,RMT
854,rmt_memory_rw_rst ,,DEPRECATED USE rmt_tx_memory_reset or rmt_rx_memory_reset,RMT
855,rmt_set_intr_enable_mask ,,DEPRECATED interrupt handled by driver,RMT
856,rmt_clr_intr_enable_mask ,,DEPRECATED interrupt handled by driver,RMT
857,rmt_set_pin ,,DEPRECATED use rmt_set_gpio instead,RMT
858,,,,
859,EXAMPLES ,,,
860,,,,
861,see,"( ""text"" -- )",Attempt to decompile the word which follows in the input stream,forth
862,"usage  "" see demo "" ",, ,
863,"Example,  you defined  ""demo""  -->    : demo    1 2 3 +  .  cr cr ;  
",,,
864,,,,
865,"see  demo  <--    will show back its source -->  : demo  1 2 3 + . cr cr ; 
ok  ",,,
866,,,,
867,,,,
868,WiFi.mode,( n -- ),Set WiFi mode,
869,0 WIFI_MODE_NULL,"In this mode, the internal data struct is not allocated to the station and the AP, while both the station and AP interfaces are not initialized for RX/TX Wi-Fi data. Generally, this mode is used for Sniffer, or when you only want to stop both the STA and the AP to unload the whole Wi-Fi driver.",,
870,1 WIFI_MODE_STA,"Station mode: in this mode, will init the internal station data, while the station’s interface is ready for the RX and TX Wi-Fi data.",,
871,2 WIFI_MODE_AP,"AP mode: in this mode, init the internal AP data, while the AP’s interface is ready for RX/TX Wi-Fi data. Then, the Wi-Fi driver starts broad- casting beacons, and the AP is ready to get connected to other stations.",,
872,3 WIFI_MODE_APSTA,"Station-AP coexistence mode: in this mode, will simultaneously init both the station and the AP.This is done in station mode and AP mode. Please note that the channel of the external AP, which the ESP Station is connected to, has higher priority over the ESP AP channel.",,
873,,,,
874,WiFi.status,( -- n ),Returns the connection status,
875,"The value of n:-

255 WL_NO_SHIELD - no WiFi shield is present
0 WL_IDLE_STATUS - WiFi.begin is called and remains active
                   until the number of attempts expires (resulting in WL_CONNECT_FAILED)
                   or a connection is established (resulting in WL_CONNECTED)
1 WL_NO_SSID_AVAIL   - no SSID are available
2 WL_SCAN_COMPLETED  - scan networks is completed
3 WL_CONNECTED       - connected to a WiFi network
4 WL_CONNECT_FAILED  - connection fails for all the attempts
5 WL_CONNECTION_LOST - connection is lost
6 WL_DISCONNECTED    - disconnected from a network",,,
876,,,,
877,,,,
878,WiFi connection,( -- ),Connect and disconnect from WiFi demo,
879,"WiFi
: ip.        ( n -- )
2 for
        256 U/MOD
next
>r >r >r
. 46 emit
r> . 46 emit
r> . 46 emit
r> . 
;
: status.    ( -- )                                \ print WiFi connection status
."" Current WiFi status = "" 
WiFi.status
dup 0= if ."" Idle"" then
dup 1 = if ."" no SSID available"" then
dup 2 = if ."" scan networks complete"" then
dup 3 = if ."" connected"" then
dup 4 = if ."" connection failed"" then
dup 5 = if ."" connection lost"" then
6 = if ."" disconnected"" then 
cr
;
: test        ( -- )
WIFI_MODE_STA WiFi.mode                              \ set up esp32 to connect to an access point 
z"" yourroutername"" z"" yourpassword"" WiFi.begin       \ attempt to connect
2000 ms
status.                                              \ report our Wifi link status
."" local IP = "" WiFi.localIP ip. cr                  \ report local IP address
WiFi.disconnect                                      \ disconnect
."" Now disconnecting"" cr
2000 ms                
status.                                              \ report WiFi status again
;
\ N.B. edit the above with your router's name and password!!",,,
880,,,,
881,,,,
882,,,,
883,TASKS example,( -- ),Demonstrates adding a 10 second timer task,
884,": hi begin ."" Time is: "" ms-ticks . cr 10000 ms again ; \ Print the tick every 10sec.
' hi 100 100 task my-counter                            \ define my-counter task
my-counter start-task                                   \ start the my-counter task

\ in between print outs, type tasks .tasks <cr> and observe the active tasks are
\ main-task my-counter yield-task",,,
885,,,,
886,,,,
887,PIN example,( -- ),Demonstrates toggling GPIO23 at max rate using the PIN word,
888,": maxtoggle
      23 output pinMode
      begin
           HIGH 23 pin
           LOW 23 pin
      key? until ;
\ A scope showed that the pin remained high for 625nS or so.
\ It was low for around 2.6uS because of the key? function
\ slowing things up. So a reasonable speed, all considered",,,
889,,,,
890,,,,
891,,,,
892,Telnet server,( -- ),"Demonstrates starting the telnet server to enable
terminal communication with ESP32forth over WiFi",
893,"z"" yourrouterid"" z"" yourpassword"" login cr   \ Login to your Wifi router 
telnetd                                      \ vocabulary TELNET
552 server                                   \ start the telnet server on port 552",,,
894,,,,
784,,,,
785,Interval example,( -- ),Demonstrates starting a timed word with interval,
786,"Example:
timers
variable x
: hi   1 x +! ;
' hi 1000000 0 interval ( run hi every second )
x @ . ( See value of x goes up )
\ note the input terminal remains reponsive whilst the timer is counting down
\ there are a total of only four timer channels - so turn to multitasking if more is needed     ",,,
787,,,,
788,,,,
789,r|example,( -- ),Demonstrates making a standalone application with the aid of of a temporary string made with r|,
790,"r| z"" NETWORK-NAME"" z"" PASSWORD"" webui |     \ create a string to start the web server
s"" /spiffs/autoexec.fs"" dump-file            \ save it to file autoexec.fs",,,
791,,,,
792,,,,
793,INCLUDE example,( -- ),Demonstrates how to INCLUDE a file in the SPIFFS,
794," 
s"" /spiffs/myprogram.fs"" included      \ upload that file first in the Arduino IDE ",,,
795,,,,
796,,,,
793,SPIFF FILEexample, ,Demonstrates how to CREATE a file in the SPIFFS,
797,"Typical use  : Test ( --fh)  s"" /spiffs/myprogram.fs""   R/W  CREATE-FILE  IF ."" OPEN-FILE FAILED""  -1 throw THEN   ;",,,
,,,,
798,Read digital i/p,( gpiono -- ),Continuously display the state of a digital input until a key is pressed,
799,": test ( gpiono -- ) 
        DUP INPUT pinMode                    \ set 'gpiono' as an input
        begin
                DUP digitalRead . cr         \ display the state of 'gpiono'
        key? until                           \ until a key is pressed
        DROP ;                               \ stack tidy
",,,
800,,,,
801,,,,
802,Sense a digital input change using interrupt,(  -- ),"When the 'boot' button is pressed or released, that change of state is reported on the display",
803,"interrupts

0 input pinmode                              \ set GPIO0 as an input

: input. ( -- )                              \ display the state of GPIO0
        ."" GPIO0 input =""
        0 digitalRead . cr
;

: pinanyedge ( xt pin -- )                   \ add an ANYEDGE interrupt handler
        dup GPIO_INTR_ANYEDGE gpio_set_intr_type throw
        swap 0 gpio_isr_handler_add throw
;

' input. 0 pinanyedge ( -- )                  \ If GPIO0 changes state, report it

: disableinterrupt ( pin -- )
        GPIO_INTR_DISABLE gpio_set_intr_type throw
;

0 disableinterrupt                            \ stop reporting GPIO0 changes

\ This is just a demo - generally you want an interrupt to be as brief as possible
\ so printing from an interrupt routine is not recommended for real programs",,,
804,,,,
805,,,,
806,Local variables,( n1 n2 -- ),Demonstrates defining a word where the input parameters on the stack are labelled for enhanced readability,
807,": summ  { foo bar }    \ bar is topmost element of the stack
        foo bar + .    \ add the two top values on the stack and display the result
;
\ so 2 3 summ results in 5 displayed",,,
808,,,,
809,,,,
810,Analogue i/p,(  -- ),Demonstrates reading the volatge present on GPIO14 for 128 samples at 10 samples / s,
811,"100 value del          \ this value determines the data sample rate
: delay del ms ;       \ time delay used to pace reading samples
: read                 ( -- )
128 0 do               \ Read 128 the input 128 times
        14 ADC . CR    \ Read the voltage on GPIO14
        DELAY          \ And pause for 100 mS between each sample
loop
;",,,
812,,,,
813,,,,
814,OLED example,,Demonstrates how to talk to the OLED 128x64 pixels,DISPLAY OUTPUT
815,Oled,,call the oled vocabulary,
816,OLEDINIT,,initialize display / salutation message,ESP32forth
817,123 Olednum Oleddisplay,,print a number on the stack,123
818,Oledhome Oledcls OO ,,"send home the cursor, CLS, OO= Oleddisplay",
819,"z"" Hello ! "" Oledprint OO",,print a string,Hello
820,1 1 35 35 1 Oledrect  OO,,draw a rectangle ,[]
821,Oledinvert  OO,,Invert the display,[]
822,"\\ #define ENABLE_OLED_SUPPORT  needs to be uncommented in the ESP32forth source file ,    to get OLED words installed",,,
823,,,,
824,,,,
825,NONAME example,,"Demonstrates creating words with no names, which can nevertheless be executed by execution token - saves space in the dictionary if the word is never used by name",
826,":noname ."" Saturday"" ;
:noname ."" Friday"" ;
:noname ."" Thursday"" ;
:noname ."" Wednesday"" ;
:noname ."" Tuesday"" ;
:noname ."" Monday"" ;
:noname ."" Sunday"" ;
 
create (day) ( --- addr)   \ an array of execution tokens for the 7 headerless words
, , , , , , ,

: day. ( n -- )            \ valid n=0-6
cells (day) + @ execute ;

\ executing 2 day. displays Tuesday etc.",,,
827,,,,
828,,,,
829,[IF] [THEN] example,,Demonstrates a phrase that will automatically forget a previous compile using an interpreted conditional statement,
830,"\ Place this at the top of a forth source file

DEFINED? *codename* [IF] forget *codename* [THEN] 
: *codename* ;

\ the string *codename* can be anything unique to suit the code file being loaded
\ if that word is already defined, then the compiled words are forgotten from the
\ dictionary before being recompiled",,,
831,,,,
832,,,,
833,STARTUP: example,," snapshotting the dictionary and restoring it at startup, with a start word",
834,": welcome ."" Hello!"" cr 100 0 do i . loop cr ;
startup: welcome
bye
 
           ( Next boot will run a custom startup message )

reset
           ( Reset removes the custom message ) ",,,
835,,,,
836,,,,
837,INTERNALS  ,,This vocabulary has some additional words for more control,
838,SAVE-NAME ( a n -- ) Save a snapshot of the current vocabulary to a file.,,,
839,RESTORE-NAME ( a n -- ) Restore a snapshot from a file.,,,
840,'COLD ( -- a ) Address of the word that will be run on startup.,,,
841,REMEMBER-FILENAME ( -- a n ) Deferred word specifying the platform specific default snapshot filename.,,,
842,,,,
843,UNLOOP example,,Demonstrates a loop being terminated before completion by UNLOOP,
844,": test
1000 0 do                               \ start  a 1000 long loop
key? if                                 \ if a  key was pressed
        key drop                        \ read the key and drop it
        cr ."" loop terminating ""        
        unloop                          \ get rid of the loop
        exit                            \ return to the calling word
       then
cr ."" loopcount = "" i .                 \ show us the loop count
500 ms                                  \ loop every 1/2 s
loop
;",,,
845,,,,
,,,,
,,,,
,,,,
,Serial2.begin Serial2.end Serial2.available Serial2.readBytes,,,
,Serial2.write Serial2.flush serial-builtins,,,
